Token,Nombre del artículo,Nombre para el cliente,Nombre de la variante,SKU,Descripción,Categorías,Categoría de informes,Título de SEO,Descripción de SEO,Enlace permanente,GTIN,Visibilidad del artículo en Ventas en línea Square,Tipo de artículo,Peso: (kg),Título del enlace a la red social,Descripción del enlace a la red social,Envío habilitado,Pedidos de autoservicio habilitados,Entrega habilitada,Recogida habilitada,Precio,Precio de venta online,Archivados,Para vender,Contiene alcohol,Para almacenar en stock,Añadir artículo a la cuenta automáticamente,Nombre de la opción 1,Valor de la opción 1,Cantidad actual Esencia Cafe,Nueva cantidad Esencia Cafe,Alerta de existencias activada Esencia Cafe,Recuento de alerta de existencias Esencia Cafe,Conjunto de modificadores: Chocolates,Conjunto de modificadores: Croissant,Conjunto de modificadores: Frío Caliente,Conjunto de modificadores: Modif Cafes,Conjunto de modificadores: Modif Galletas,Conjunto de modificadores: Modif Matcha,Conjunto de modificadores: Opciones Late,Conjunto de modificadores: Sandwich,Conjunto de modificadores: Toppings,Conjunto de modificadores: Tostadas
73YYXJ3NENDPBVUFHQS6LZX7," Banana Bread",,Normal,A141362,,Alimentos > Horno,Alimentos > Horno,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,-47,,,,No,No,No,No,No,No,No,No,No,No
VJC4MZWXDHSVNOLJTZA6ZKWC,1906,,Estándar,E919097,,Bebidas > Cervezas,Bebidas > Cervezas,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,3.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
KERWSAFWW3BY3QGQEBWGUXVO,Afogato,,Estándar,5717166,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
B7JQCPJVJBCE4TOJAA66JUTC,Agua,,Normal,D173642,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
TESV34DATO622BEEWJL6YOSC,Agua con gas,,Estándar,9974718,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
EL2M7QGFVRWXJBDX63UZQUXD,Babyccino,,Estándar,937991N,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
MKQR6YQMJXSGZECQB7IREN5P,Barraquito,,Normal,297616H,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.20,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
W4MTDFZX7V4GCUBQOX46DFCO,Café Americano,,Normal,393448M,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.20,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
UG73MOTC4BDRHJ2A7UIQPK5Z,Café con Leche,,Normal,E133998,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.50,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
TGC4UMRLJ3DKLTM3LGWCPSNV,Capuccino,,Normal,5492683,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
W47BSUBIXJGVL7SUVFN2IT2D,Chocolate,,Estándar,7795765,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,No,,No,,,,,,,No,No,Sí,No,No,No,No,No,No,No
I2NPXS6KVT5VXZHBPH7RWSHV,Chocolate Navideño,,Estándar,141778L,,Café & té,Café & té,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,-117,,,,Sí,No,No,No,No,No,No,No,No,No
YOVKJF2ZTOI3ADORESNN76QC,Coca Cola,,Normal,F119465,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
RP7BZR6XXFY733KQA4WCD575,Coca Cola Zero,,Normal,Z505317,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
TYBHAIJRVLWNUEXZA63ZBYE7,Coconut Matcha,,Estándar,R371899,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
RZ7S5PFPQSZSHDSF6RNZLTXO,Cold Cheese Foam,,Estándar,K083098,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
7A6BTCWDQW3FZD3VWAVDIQKY,Corona,,Estándar,412799C,,Bebidas > Cervezas,Bebidas > Cervezas,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,3.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
WUXOHHBGSL5XCX3BBS2BU5LQ,Cortado,,Normal,741856F,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.20,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
NL7HUZ2BKVR7KJXEWAQIT4LY,Croissant Dulce,,Normal,F527738,,Alimentos > Horno,Alimentos > Horno,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,Sí,No,No,No,No,No,No,No,No
XWXUW2CZUSBREZZS6VXHTGCW,Croissant Salado,,Estándar,A011283,,Alimentos,Alimentos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.50,,No,,,,No,,,-50,,,,No,No,No,No,No,No,No,No,No,Sí
WFZVVTJTBTO3CUCVVR6RA5K2,English Breakfast,,Estándar,4330870,,,,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
UDUOTQH47V4EFXAHTGPVGOFD,Estrella Galicia,,Estándar,9556885,,Bebidas > Cervezas,Bebidas > Cervezas,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
X35V4DKZT2KCCEILCUXXAXJM,Expreso Doble,,Estándar,4007159,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
FAPFP5IDJYIC7FESBHLKE5SU,Expresso,,Normal,R104987,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.20,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
ZWK7DW6YVN35CP5Q6U7USKLM,Fanta Limon,,Normal,S174721,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
JUZD6R2BV7VWRO2SZ5QKEQ5N,Fanta Naranja,,Normal,898473B,,Bebidas > Refrescos,Bebidas > Refrescos,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.00,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,No,No,No,No
653B5DNHRLVDFB4ZRRKSB2X4,Flat white,,Estándar,3672977,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.20,,No,,No,,No,,,,,,,No,No,No,Sí,No,No,No,No,No,No
J2XYD7IC3UJEX5MDRDACGF6R,Galleta,,Normal,812457S,,Alimentos > Horno,Alimentos > Horno,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,3.00,,No,,No,,Sí,,,,,,,No,No,No,No,Sí,No,No,No,No,No
AA265T65QQSHTIQ7JNEXDP4E,Helado Vainilla,,Estándar,913601Q,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,2.00,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
ESESQPVYT3PQNBXPNFZ6ZXFM,Ice Americano,,Estándar,L961055,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,1.50,,No,,,,No,,,-11,,,,No,No,No,No,No,No,No,No,No,No
TLB773NY4XMCJ54VJNELJPZS,Late Macchiato,,Estándar,143947Y,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,3.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
SXACH4IEAS6BRHUFTPTZHNUV,Latte,,Normal,432512T,,Café & té > Café,Café & té > Café,,,,,oculto,Bebidas y alimentos preparados,,,,Sí,No,No,No,2.50,,No,,No,,Sí,,,,,,,No,No,No,No,No,No,Sí,No,No,No
7DBP3R55HQYNEKV25WRA5XP6,Leche Avena extra,,Estándar,R328624,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,0.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
SO5VVHASP6DA3I6HM22K7C32,Leche Soja extra,,Estándar,X223282,,Extras,Extras,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,0.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
LORP3RE4VIXV2LQCRLWJDUSO,Leche y Leche,,Normal,Y518642,,Café & té > Café,Café & té > Café,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,1.60,,No,,No,,Sí,,,,,,,No,No,No,Sí,No,No,No,No,No,No
TOJG3LVSNDERWXB7354IOGUM,Matcha Clásico,,Normal,436351H,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,No,No,No,4.50,,No,,No,,Sí,,,,,,,No,No,No,No,No,Sí,No,No,No,No
XFAVLSWXN6OIK6INPPNJOXXS,Matcha Mango,,Estándar,8651832,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,,,,,No,No,No,No,No,No,No,No,No,No
472WHNKZWTFPMLDZX3WYKY4L,Matcha Maracuyá ,,Estándar,5938559,,Café & té > Matcha,Café & té > Matcha,,,,,no disponible,Bebidas y alimentos preparados,,,,Sí,,,,4.50,,No,,,,No,,,-88,,,,No,No,No,No,No,No,No,No,No,No
